,날짜,구분,경기(행사)내용,관람인원(명),사용일수(일),시설명,강수량(mm),평균기온(℃),좌석수,좌석점유율,주말 여부,지역,인근_역,합계_승차,미세먼지(PM10).mean,초미세먼지(PM2.5).mean
23,2015-04-12,공공행사,제25회송파구청장기배드민턴대회,1000,1,핸드볼보조경기장,0.0,14.9,5003,19.99,Y,송파구,올림픽공원,6146,39.6,17.5
30,2015-04-25,일반행사,토요일을 즐겨라,15246,6,상암월드컵주경기장,0.0,15.9,11000,22.86,Y,마포구,디지털미디어시티,13492,65.8,28.7
43,2015-05-09,일반행사,청춘페스티벌,17782,6,상암월드컵주경기장,0.0,17.6,11000,26.66,Y,마포구,디지털미디어시티,12518,50.0,28.8
53,2015-05-23,일반행사,2015 드림콘서트,928,5,상암월드컵주경기장,0.0,20.6,1473,65.63,Y,마포구,디지털미디어시티,13131,33.6,19.8
66,2015-06-18,공공행사,2015 세계 간호사 대회,4000,3,KSPO DOME(체조경기장),3.0,24.8,15000,8.89,N,송파구,올림픽공원,5679,19.9,10.5
69,2015-06-21,공공행사,제27회 강동구청장기 생활체육 배드민턴대회,0,1,핸드볼경기장,0.0,22.4,6500,0.0,Y,송파구,올림픽공원,3213,19.4,9.9
73,2015-06-29,공공행사,민주평화통일자문회의 제17기 출범회의,10000,3,KSPO DOME(체조경기장),0.0,25.7,15000,22.22,N,송파구,올림픽공원,5577,25.5,12.1
97,2015-08-15,일반행사,815 국민대합창,741,12,상암월드컵주경기장,0.1,27.1,596,83.71,Y,마포구,디지털미디어시티,9703,78.9,59.3
117,2015-09-19,일반행사,토토즐 앵콜공연,7577,5,상암월드컵주경기장,0.0,22.3,6394,11.36,Y,마포구,디지털미디어시티,11818,31.4,18.9
125,2015-10-03,일반행사,어반애슬런 2015,2330,2,상암월드컵주경기장,0.0,19.2,7604,3.49,Y,마포구,디지털미디어시티,11696,29.2,18.5
126,2015-10-03,일반행사,그라운드 예식,200,1,상암월드컵주경기장,0.0,19.2,281,0.3,Y,마포구,디지털미디어시티,11696,29.2,18.5
132,2015-10-09,일반행사,ONE-K 콘서트,928,7,상암월드컵주경기장,0.0,16.2,1473,64.24,N,마포구,디지털미디어시티,10779,22.2,11.7
137,2015-10-16,일반행사,2015 기도대성회,1390,4,상암월드컵주경기장,0.0,17.5,4166,14.163333333333332,N,마포구,디지털미디어시티,7247,63.6,45.4
224,2016-04-10,공공행사,제20대 국회의원 선거 개표,670,5,KSPO DOME(체조경기장),0.0,13.4,15000,0.89,Y,송파구,올림픽공원,4082,125.8,60.2
225,2016-04-14,일반행사,mbc무한도전 게릴라 콘서트,14156,4,상암월드컵주경기장,0.0,12.4,15000,21.22,N,마포구,디지털미디어시티,6573,58.5,35.2
236,2016-05-01,공공행사,제26회 송파구청장기 생활체육 배드민턴대회,1000,1,핸드볼보조경기장,0.0,18.8,5003,19.99,Y,송파구,올림픽공원,6744,39.7,14.1
239,2016-05-01,일반행사,원불교 100주년 기념행사,928,8,상암월드컵주경기장,0.0,18.8,1473,73.9,Y,마포구,디지털미디어시티,8354,33.7,17.2
242,2016-05-04,순수예술공연,별이 빛나는 밤에,4777,12,올림픽홀,0.0,15.7,3000,13.27,N,송파구,올림픽공원,9788,53.5,12.9
262,2016-06-04,일반행사,2016 드림콘서트,1490,7,상암월드컵주경기장,0.0,21.2,1473,65.53,Y,마포구,디지털미디어시티,11706,51.6,29.3
263,2016-06-05,공공행사,제28회 강동구청장기 생활체육 배드민턴대회,700,1,핸드볼보조경기장,0.0,24.7,5003,13.99,Y,송파구,올림픽공원,6227,39.3,22.4
280,2016-07-03,일반행사,프린지 축제(윷놀이),500,1,상암월드컵주경기장,0.0,23.5,2640,0.75,Y,마포구,디지털미디어시티,7694,44.5,35.9
294,2016-07-22,일반행사,프린지 축제(크리미널 런),500,2,상암월드컵주경기장,0.0,29.1,12166,0.75,N,마포구,디지털미디어시티,9103,40.1,28.1
309,2016-08-20,일반행사,빅뱅 10주년 기념 콘서트,7570,6,상암월드컵주경기장,0.0,30.1,13375,12.606666666666667,Y,마포구,디지털미디어시티,11406,32.9,22.0
320,2016-09-10,일반행사,프린지 축제(크리미널 런),60,1,상암월드컵주경기장,0.0,24.4,281,0.09,Y,마포구,디지털미디어시티,10629,46.9,34.1
327,2016-09-23,일반행사,전국금융노조 축제 한마당,2665,3,상암월드컵주경기장,0.0,21.4,1517,79.95,N,마포구,디지털미디어시티,7703,54.6,39.1
329,2016-09-25,일반행사,프린지 축제(즉흥으로놀자),500,2,상암월드컵주경기장,0.0,23.0,4412,0.75,Y,마포구,디지털미디어시티,8209,37.5,25.2
333,2016-10-03,일반행사,어반 애슬런 2016,1600,2,상암월드컵주경기장,6.5,22.7,16813,2.4,N,마포구,디지털미디어시티,8403,20.1,8.1
336,2016-10-08,일반행사,청춘 아레나,9449,5,상암월드컵주경기장,6.0,16.8,6394,14.17,Y,마포구,디지털미디어시티,12920,29.8,12.9
361,2016-11-22,공공행사,굿모닝월드(기업) 시상식 행사,3000,3,핸드볼경기장,0.2,2.0,6500,15.38,N,송파구,올림픽공원,6501,33.3,13.2
416,2017-04-13,일반행사,국가금식회개의날,15248,6,상암월드컵주경기장,0.0,12.7,15000,22.86,N,마포구,디지털미디어시티,9109,71.2,39.8
429,2017-05-14,일반행사,워킹페스티벌 after 콘서트,6682,4,상암월드컵주경기장,0.0,15.7,12208,10.02,Y,마포구,디지털미디어시티,7859,53.2,15.3
438,2017-05-29,공공행사,4th CMS Brunch Seminar,2400,2,핸드볼경기장,0.0,22.9,6500,18.46,N,송파구,올림픽공원,7067,95.8,38.2
442,2017-06-03,일반행사,2017 드림콘서트,928,9,상암월드컵주경기장,0.0,20.5,1473,71.22,Y,마포구,디지털미디어시티,11463,32.5,16.2
446,2017-06-10,일반행사,지드래곤 2017 콘서트,662,9,상암월드컵주경기장,4.5,21.5,1158,53.13,Y,마포구,디지털미디어시티,11339,28.8,10.2
458,2017-07-08,일반행사,SM타운 콘서트,7663,7,상암월드컵주경기장,4.5,26.0,2394,48.93,Y,마포구,디지털미디어시티,9783,33.1,24.0
463,2017-07-17,일반행사,프린지 페스티벌,6000,6,상암월드컵주경기장,7.5,26.8,15000,8.99,N,마포구,디지털미디어시티,5422,22.4,17.6
490,2017-09-15,공공행사,송파경찰서 한마음 한울타리 어울림 체육대회,150,1,벨로드롬,0.0,22.6,6000,2.5,N,송파구,올림픽공원,9571,13.5,5.1
496,2017-09-27,공공행사,2017스포츠산업JOBFAIR,7600,2,핸드볼경기장,0.5,22.7,6500,58.46,N,송파구,올림픽공원,6914,36.5,18.8
521,2017-11-11,일반행사,한반도 평화통일 세계대회,928,7,상암월드컵주경기장,0.0,5.9,1473,83.94,Y,마포구,디지털미디어시티,11229,30.4,14.4
538,2017-12-03,순수예술공연,젊은 오광대전,235,1,K-아트홀,4.0,4.9,369,63.69,Y,송파구,올림픽공원,3467,51.9,32.8
610,2018-05-07,공공행사,제46회 어버이날기념행사,3100,2,핸드볼경기장,0.0,19.2,6500,23.85,N,송파구,올림픽공원,3877,48.2,23.6
612,2018-05-12,일반행사,2018 드림콘서트,928,7,상암월드컵주경기장,32.0,14.2,1473,64.52,Y,마포구,디지털미디어시티,10239,12.6,12.2
614,2018-05-18,일반행사,2018 세계평화와 희망나눔을 위한 기도대성회,7354,7,상암월드컵주경기장,6.5,16.3,6394,15.973333333333331,N,마포구,디지털미디어시티,4328,15.9,8.7
621,2018-05-31,순수예술공연,상주단체공연 <길위에서 별을 만지다>,521,3,K-아트홀,0.0,20.9,369,47.06,N,송파구,올림픽공원,6769,44.7,24.3
626,2018-06-09,공공행사,제7회 전국동시지방선거 및 국회의원재선거 개표,1200,6,핸드볼경기장,0.5,23.7,6500,3.08,Y,송파구,올림픽공원,9083,35.7,18.4
632,2018-06-25,순수예술공연,상주단체공연 <만주전선>,1333,7,K-아트홀,0.0,27.1,369,51.61,N,송파구,올림픽공원,8021,70.8,44.1
639,2018-07-06,순수예술공연,땀띠와 함께 가요,198,2,K-아트홀,0.0,23.9,369,26.83,N,송파구,올림픽공원,6002,7.0,3.1
653,2018-07-26,순수예술공연,상주단체공연 <소리도>,547,3,K-아트홀,0.0,30.1,369,49.41,N,송파구,올림픽공원,5208,44.1,30.6
676,2018-08-27,순수예술공연,상주단체공연 <골목길 햄릿>,1173,5,K-아트홀,19.5,22.7,369,22.71,N,송파구,올림픽공원,5493,10.2,3.5
700,2018-10-09,순수예술공연,국악단 소리개의 <길> (가제),553,3,K-아트홀,0.0,15.3,369,49.95,N,송파구,올림픽공원,4823,30.6,11.8
710,2018-10-25,공공행사,스포츠산업 잡페어 2018,6000,2,KSPO DOME(체조경기장),0.0,13.8,15000,20.0,N,송파구,올림픽공원,7280,60.8,22.2
734,2018-11-17,순수예술공연,2018 지역아동센터 특기적성지원사업 아티스트웨이 <아름다운 하모니 콘서트>,364,1,K-아트홀,0.0,4.9,369,41.35333333333333,Y,송파구,올림픽공원,12211,32.3,19.2
746,2018-12-03,순수예술공연,연극 <그을린사랑>,1435,1,K-아트홀,9.5,11.5,369,27.78,N,송파구,올림픽공원,5406,43.9,35.6
845,2019-05-04,공공행사,제29회 송파구청장기 배드민턴대회,1400,1,핸드볼경기장,0.0,19.5,6500,21.54,Y,송파구,올림픽공원,6162,84.3,52.5
855,2019-05-18,일반행사,2019 드림콘서트,928,7,상암월드컵주경기장,0.0,22.8,1473,63.81,Y,마포구,디지털미디어시티,10498,26.4,11.5
882,2019-06-23,공공행사,제31회 강동구청장기 배드민턴대회,1200,1,핸드볼경기장,0.0,25.0,6500,18.46,Y,송파구,올림픽공원,10052,19.8,10.2
883,2019-06-23,공공행사,강동구청장기 배드민턴대회,0,1,핸드볼보조경기장,0.0,25.0,5003,0.0,Y,송파구,올림픽공원,10052,19.8,10.2
904,2019-07-26,일반행사,K리그 올스타vs유벤투스FC,5216,2,상암월드컵주경기장,60.0,25.1,2079,38.026666666666664,N,마포구,디지털미디어시티,5682,14.3,14.0
916,2019-08-14,순수예술공연,정미정 아쟁 콘서트 - 달의 노래,103,1,K-아트홀,0.0,30.4,369,27.91,N,송파구,올림픽공원,4869,12.0,7.4
997,2019-12-16,순수예술공연,연극공연 / 못생긴 당신 [(사)전문예술극단 특별기획공연],660,3,K-아트홀,0.0,7.8,369,59.62,N,송파구,올림픽공원,5198,40.4,17.7
1021,2020-04-11,공공행사,제21대 국회의원선거 개표,850,6,KSPO DOME(체조경기장),0.0,9.9,15000,0.94,Y,송파구,올림픽공원,2066,40.7,23.9
1033,2020-06-23,공공행사,대한민국 동행세일,1200,12,KSPO DOME(체조경기장),0.0,27.3,15000,0.67,N,송파구,올림픽공원,4095,55.3,34.1
1035,2020-07-03,순수예술공연,창극으로 보는 땀띠 콘서트 “땀띠와 꿈을!!”,30,2,K-아트홀,0.1,25.5,369,4.07,N,송파구,올림픽공원,4445,15.6,7.2
1042,2020-07-24,공공행사,대통령경호처 경호공무원 공개경쟁채용 필기시험,0,2,핸드볼보조경기장,2.9,22.5,5003,0.0,N,송파구,올림픽공원,4442,5.9,2.4
1043,2020-07-24,공공행사,대통령경호처 경호공무원 공개경쟁채용 필기시험,750,2,핸드볼경기장,2.9,22.5,6500,5.77,N,송파구,올림픽공원,4442,5.9,2.4
1045,2020-07-29,순수예술공연,탈북예술가들과 공명이 함께 하는 “통일 음악이야기”,30,3,K-아트홀,50.1,23.7,369,2.71,N,송파구,올림픽공원,4205,15.4,8.5
1047,2020-08-07,순수예술공연,2020 서울아트마켓,200,8,K-아트홀,0.0,24.3,369,6.78,N,송파구,올림픽공원,5303,25.8,17.3
1134,2021-06-26,일반행사,2021 제27회 드림콘서트,0,7,상암월드컵주경기장,4.5,22.8,9937,0.0,Y,마포구,디지털미디어시티,7102,21.8,14.8
1156,2021-08-13,공공행사,국세청 채용면접,300,2,우리금융아트홀,0.0,26.6,1184,12.67,N,송파구,올림픽공원,7616,24.8,14.2
1235,2022-03-05,공공행사,제20대대통령선거,1030,6,핸드볼경기장,0.0,2.3,6500,2.64,Y,송파구,올림픽공원,2525,43.4,6.8
1322,2022-07-13,일반행사,2022 쿠팡플레이시리즈 친선경기 (팀K리그 vs.토트넘) ,1050,8,상암월드컵주경기장,114.5,25.0,3062,3.98,N,마포구,디지털미디어시티,5729,8.6,6.8
1324,2022-07-22,공공행사,국가공무원 7급 채용시험,400,2,핸드볼경기장,5.2,25.1,6500,3.08,N,송파구,올림픽공원,4473,34.4,15.8
1380,2022-10-20,공공행사,2022 브레이킹K 시리즈 3차대회,1080,4,핸드볼보조경기장,0.0,12.9,5003,5.4,N,송파구,올림픽공원,5174,40.9,18.3
